date,updated_at,price,url
1 July 2022,Closing,1280,https://agropost.wordpress.com/page/2/
1 July 2022,Midday,1270,https://agropost.wordpress.com/page/2/
30 June 2022,Closing,1300,https://agropost.wordpress.com/page/2/
30 June 2022,Midday,1315,https://agropost.wordpress.com/page/2/
29 June 2022,Closing,1300,https://agropost.wordpress.com/page/2/
29 June 2022,Midday,1300,https://agropost.wordpress.com/page/2/
28 June 2022,Closing,1310,https://agropost.wordpress.com/page/2/
28 June 2022,Midday,1290,https://agropost.wordpress.com/page/2/
27 June 2022,Closing,1290,https://agropost.wordpress.com/page/2/
27 June 2022,Midday,1275,https://agropost.wordpress.com/page/2/
24 June 2022,Closing,1280,https://agropost.wordpress.com/page/3/
24 June 2022,Midday,1270,https://agropost.wordpress.com/page/3/
23 June 2022,Closing,1295,https://agropost.wordpress.com/page/3/
23 June 2022,Midday,1240,https://agropost.wordpress.com/page/3/
22 June 2022,Closing,1240,https://agropost.wordpress.com/page/3/
22 June 2022,Midday,1330,https://agropost.wordpress.com/page/3/
21 June 2022,Closing,1380,https://agropost.wordpress.com/page/3/
21 June 2022,Midday,1365,https://agropost.wordpress.com/page/3/
20 June 2022,Closing,1375,https://agropost.wordpress.com/page/3/
20 June 2022,Midday,1400,https://agropost.wordpress.com/page/3/
17 June 2022,Closing,1460,https://agropost.wordpress.com/page/4/
17 June 2022,Midday,1460,https://agropost.wordpress.com/page/4/
16 June 2022,Closing,1465,https://agropost.wordpress.com/page/4/
16 June 2022,Midday,1500,https://agropost.wordpress.com/page/4/
15 June 2022,Closing,1560,https://agropost.wordpress.com/page/4/
15 June 2022,Midday,1560,https://agropost.wordpress.com/page/4/
14 June 2022,Closing,1560,https://agropost.wordpress.com/page/4/
14 June 2022,Midday,1550,https://agropost.wordpress.com/page/4/
13 June 2022,Closing,1575,https://agropost.wordpress.com/page/4/
13 June 2022,Midday,1580,https://agropost.wordpress.com/page/4/
10 June 2022,Closing,1630,https://agropost.wordpress.com/page/5/
3 June 2022,Closing,1695,https://agropost.wordpress.com/page/6/
3 June 2022,Midday,1690,https://agropost.wordpress.com/page/6/
2 June 2022,Closing,1695,https://agropost.wordpress.com/page/6/
2 June 2022,Midday,1695,https://agropost.wordpress.com/page/6/
1 June 2022,Closing,1690,https://agropost.wordpress.com/page/6/
1 June 2022,Midday,1680,https://agropost.wordpress.com/page/6/
31 May 2022,Closing,1690,https://agropost.wordpress.com/page/6/
31 May 2022,Midday,1710,https://agropost.wordpress.com/page/6/
30 May 2022,Closing,1710,https://agropost.wordpress.com/page/6/
30 May 2022,Midday,1695,https://agropost.wordpress.com/page/6/
27 May 2022,Closing,1750,https://agropost.wordpress.com/page/7/
27 May 2022,Midday,1775,https://agropost.wordpress.com/page/7/
26 May 2022,Closing,1770,https://agropost.wordpress.com/page/7/
26 May 2022,Midday,1720,https://agropost.wordpress.com/page/7/
